identifier;name;all_names_french;all_names_english;iso_639_2_t;iso_639_2_b;iso_639_1;version
language-338;nahuatl, langues;nahuatl, langues;Nahuatl languages;nah;;;0
language-339;napolitain;napolitain;Neapolitan;nap;;;0
language-340;nauruan;nauruan;Nauru;nau;;na;0
language-341;navaho;navaho;"Navajo; Navaho";nav;;nv;0
language-342;ndébélé du Nord;ndébélé du Nord;"Ndebele, North; North Ndebele";nde;;nd;0
language-343;ndébélé du Sud;ndébélé du Sud;"Ndebele, South; South Ndebele";nbl;;nr;0
language-344;ndonga;ndonga;Ndonga;ndo;;ng;0
language-345;néerlandais;"néerlandais; flamand";"Dutch; Flemish";nld;dut;nl;0
language-346;néerlandais moyen (ca. 1050-1350);néerlandais moyen (ca. 1050-1350);Dutch, Middle (ca.1050-1350);dum;;;0
language-347;nepal bhasa;"nepal bhasa; newari";"Nepal Bhasa; Newari";new;;;0
language-348;népalais;népalais;Nepali;nep;;ne;0
language-349;newari;"nepal bhasa; newari";"Nepal Bhasa; Newari";new;;;0
language-350;newari classique;newari classique;"Classical Newari; Old Newari; Classical Nepal Bhasa";nwc;;;0
language-351;nias;nias;Nias;nia;;;0
language-352;nigéro-kordofaniennes, langues;nigéro-kordofaniennes, langues;Niger-Kordofanian languages;nic;;;0
language-353;nilo-sahariennes, langues;nilo-sahariennes, langues;Nilo-Saharan languages;ssa;;;0
language-354;niué;niué;Niuean;niu;;;0
language-355;nogaï;"nogaï; nogay";Nogai;nog;;;0
language-356;nogay;"nogaï; nogay";Nogai;nog;;;0
language-357;non applicable;"pas de contenu linguistique; non applicable";"No linguistic content; Not applicable";zxx;;;0
language-358;nord-amérindiennes, langues;nord-amérindiennes, langues;North American Indian languages;nai;;;0
language-359;norrois, vieux;norrois, vieux;Norse, Old;non;;;0
language-360;norvégien;norvégien;Norwegian;nor;;no;0
language-361;norvégien bokmål;norvégien bokmål;"Bokmål, Norwegian; Norwegian Bokmål";nob;;nb;0
language-362;norvégien nynorsk;"norvégien nynorsk; nynorsk, norvégien";"Norwegian Nynorsk; Nynorsk, Norwegian";nno;;nn;0
language-363;nubiennes, langues;nubiennes, langues;Nubian languages;nub;;;0
language-364;nyamwezi;nyamwezi;Nyamwezi;nym;;;0
language-365;nyanja;"chichewa; chewa; nyanja";"Chichewa; Chewa; Nyanja";nya;;ny;0
language-366;nyankolé;nyankolé;Nyankole;nyn;;;0
